Data da venda;Estado;Tarifa de venda e impostos (BRL);Tarifas de envio (BRL);Custo de envio com base nas medidas e peso declarados;Custo por diferenças nas medidas e no peso do pacote;Cancelamentos e reembolsos (BRL);Total (BRL);SKU
24 de janeiro de 2026 13:59 hs.;A caminho;-47,24;-65,66;-65,66;;;297,86;1-ALLEGRA-PT
24 de janeiro de 2026 13:59 hs.;Para entregar na coleta do dia 2 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 13:50 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
24 de janeiro de 2026 13:49 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 13:48 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 13:41 hs.;Etiqueta pronta para imprimir;-83,6;-44,45;-44,45;;;598,95;8-ALLEGRA-PT
24 de janeiro de 2026 13:40 hs.;Para entregar na coleta do dia 11 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 13:38 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 13:29 hs.;Para entregar na coleta do dia 2 de fevereiro;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 13:28 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 13:24 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 13:23 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 13:23 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 13:22 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
24 de janeiro de 2026 13:22 hs.;Para entregar na coleta do dia 9 de fevereiro;-94,98;;;;;378,96;1-ALLEGRA-PT
24 de janeiro de 2026 13:22 hs.;A caminho;-11,39;;;;;31,25;5M-NAPA-BR
24 de janeiro de 2026 13:20 hs.;Para entregar na coleta do dia 30 de janeiro;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
24 de janeiro de 2026 13:13 hs.;Para entregar na coleta do dia 30 de janeiro;-75,9;-85,44;-85,44;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 13:07 hs.;Para entregar na coleta do dia 2 de fevereiro;-45,76;-44,91;-44,91;;;307,33;2-GRUVYER-PT
24 de janeiro de 2026 13:04 hs.;Para entregar na coleta do dia 29 de janeiro;-48,07;-26,95;-26,95;;;368,04;4-ALLEGRA-ND
24 de janeiro de 2026 13:03 hs.;Cancelada pelo comprador;-31,66;;;;-126,32;0;1-ALLEGRA-PT
24 de janeiro de 2026 12:45 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 12:37 hs.;Para entregar na coleta do dia 2 de fevereiro;-71,04;-98,49;-98,49;;;448,47;1-ALLEGRA-PT
24 de janeiro de 2026 12:34 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 12:27 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 12:25 hs.;Para entregar na coleta do dia 29 de janeiro;-11,84;-16,41;-16,41;;;74,75;1-ALLEGRA-PT
24 de janeiro de 2026 12:15 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
24 de janeiro de 2026 12:02 hs.;Para entregar na coleta do dia 3 de fevereiro;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 11:59 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 11:53 hs.;Para entregar na coleta do dia 4 de fevereiro;-93,05;-120,45;-120,45;;;595,6;6-ALLEGRA-AM
24 de janeiro de 2026 11:50 hs.;Para entregar na coleta do dia 4 de fevereiro;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
24 de janeiro de 2026 11:49 hs.;A caminho;-39,95;-28,45;-28,45;;;279,02;4-ALLEGRA-PT
24 de janeiro de 2026 11:48 hs.;A caminho;-39,95;-28,45;-28,45;;;279,02;4-ALLEGRA-PT
24 de janeiro de 2026 11:35 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 11:32 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 11:29 hs.;Cancelada pelo comprador;-38,64;-28,45;-28,45;;-268,91;0;4-ALLEGRA-PT
24 de janeiro de 2026 11:28 hs.;A caminho;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
24 de janeiro de 2026 11:22 hs.;Para entregar na coleta do dia 2 de fevereiro;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
24 de janeiro de 2026 11:22 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 11:15 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 11:10 hs.;Para entregar na coleta de amanhã;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 11:08 hs.;Para entregar na coleta de amanhã;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 11:05 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 10:57 hs.;Etiqueta pronta para imprimir;-23,23;-24,95;-24,95;;;153,84;2-GRUVYER-PT
24 de janeiro de 2026 10:55 hs.;Pronto para coleta;-11,39;;;;;31,25;5M-NAPA-BR
24 de janeiro de 2026 10:53 hs.;Pronta para emitir NF-e de venda;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 10:51 hs.;Para entregar na coleta do dia 30 de janeiro;-11,84;-16,41;-16,41;;;74,75;1-ALLEGRA-PT
24 de janeiro de 2026 10:49 hs.;Para entregar na coleta do dia 29 de janeiro;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 10:41 hs.;A caminho;-11,84;-71,4;-71,4;;;74,75;1-ALLEGRA-PT
24 de janeiro de 2026 10:40 hs.;Para entregar na coleta do dia 30 de janeiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 10:40 hs.;A caminho;-13,64;;;;;46,26;1-CREATINA-300G
24 de janeiro de 2026 10:30 hs.;Etiqueta pronta para imprimir;-76,94;-28,45;-28,45;;;563,61;8-GRUVYER-PT
24 de janeiro de 2026 10:19 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 10:16 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 10:12 hs.;Para entregar na coleta de amanhã;-85,33;-44,45;-44,45;;;612,22;8-ALLEGRA-PT
24 de janeiro de 2026 10:12 hs.;A caminho;-15,83;-10,99;-10,99;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 10:02 hs.;Para entregar na coleta do dia 4 de fevereiro;-63,32;;;;;252,64;1-ALLEGRA-PT
24 de janeiro de 2026 09:51 hs.;A caminho;-47,49;;;;;189,48;1-ALLEGRA-PT
24 de janeiro de 2026 09:39 hs.;Para entregar na coleta do dia 4 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 09:37 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 09:30 hs.;A caminho;-55,77;-26,95;-26,95;;;402,27;6-ALLEGRA-PT
24 de janeiro de 2026 09:28 hs.;Para entregar na coleta do dia 9 de fevereiro;-79,15;;;;;315,8;1-ALLEGRA-PT
24 de janeiro de 2026 09:16 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 09:06 hs.;Para entregar na coleta do dia 29 de janeiro;-23,23;-24,95;-24,95;;;153,84;2-GRUVYER-PT
24 de janeiro de 2026 09:04 hs.;A caminho;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 08:58 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 08:56 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 08:52 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 08:45 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;-87,99;-87,99;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 08:45 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;-87,99;-87,99;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 08:45 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;-87,99;-87,99;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 08:36 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 08:30 hs.;Para entregar na coleta do dia 29 de janeiro;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
24 de janeiro de 2026 08:27 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 08:24 hs.;Pronto para coleta;-13,64;;;;;46,26;1-CREATINA-300G
24 de janeiro de 2026 08:19 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 08:14 hs.;Para entregar na coleta de amanhã;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 07:51 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 07:47 hs.;Para entregar na coleta do dia 29 de janeiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 07:47 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 07:37 hs.;Etiqueta pronta para imprimir;-23,23;-24,95;-24,95;;;153,84;2-GRUVYER-PT
24 de janeiro de 2026 07:14 hs.;Para entregar na coleta do dia 30 de janeiro;-142,47;;;;;568,44;1-ALLEGRA-PT
24 de janeiro de 2026 06:40 hs.;Para entregar na coleta do dia 11 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 06:10 hs.;A caminho;-13,64;-9,99;-9,99;;;46,26;1-CREATINA-300G
24 de janeiro de 2026 05:51 hs.;A caminho;-11,84;-16,41;-16,41;;;74,75;1-ALLEGRA-PT
24 de janeiro de 2026 05:18 hs.;A caminho;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
24 de janeiro de 2026 02:51 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 02:10 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 02:07 hs.;Cancelada pelo comprador;-38,64;-28,45;-28,45;;-268,91;0;4-ALLEGRA-PT
24 de janeiro de 2026 00:59 hs.;A caminho;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
24 de janeiro de 2026 00:58 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 00:17 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 23:59 hs.;Para entregar na coleta do dia 2 de fevereiro;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
23 de janeiro de 2026 23:50 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 23:43 hs.;Para entregar na coleta do dia 30 de janeiro;-66,7;-28,45;-28,45;;;484,81;8-CHIFRE-PT
23 de janeiro de 2026 23:42 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 23:36 hs.;A caminho;-77,28;-56,9;-56,9;;;537,82;4-ALLEGRA-PT
23 de janeiro de 2026 23:28 hs.;A caminho;-20,49;-22,45;-22,45;;;142,25;2-ALLEGRA-PT
23 de janeiro de 2026 23:05 hs.;Para entregar na coleta do dia 30 de janeiro;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 23:04 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
23 de janeiro de 2026 23:02 hs.;A caminho;-21,43;-22,45;-22,45;;;142,47;2-GRUVYER-PT
23 de janeiro de 2026 23:01 hs.;Etiqueta pronta para imprimir;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 22:57 hs.;Para entregar na coleta do dia 30 de janeiro;-223,08;-107,8;-107,8;;;1609,08;6-ALLEGRA-PT
23 de janeiro de 2026 22:50 hs.;Para entregar na coleta do dia 6 de fevereiro;-59,2;-82,07;-82,07;;;373,73;1-ALLEGRA-PT
23 de janeiro de 2026 22:47 hs.;Etiqueta pronta para imprimir;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
23 de janeiro de 2026 22:46 hs.;Etiqueta pronta para imprimir;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
23 de janeiro de 2026 22:40 hs.;Para entregar na coleta do dia 25 de fevereiro;-63,32;;;;;252,64;1-ALLEGRA-PT
23 de janeiro de 2026 22:40 hs.;A caminho;-22,31;-22,45;-22,45;;;149,24;2-ALLEGRA-PT
23 de janeiro de 2026 22:38 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 22:38 hs.;Etiqueta pronta para imprimir;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 22:38 hs.;Para entregar na coleta do dia 2 de fevereiro;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
23 de janeiro de 2026 22:37 hs.;Para entregar na coleta do dia 29 de janeiro;-27,28;;;;;92,52;1-CREATINA-300G
23 de janeiro de 2026 22:35 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
23 de janeiro de 2026 22:34 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 22:29 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 22:26 hs.;Para entregar na coleta do dia 3 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 22:26 hs.;Venda cancelada. Não envie.;-37,6;-28,45;-28,45;;-260,95;0;4-ALLEGRA-PT
23 de janeiro de 2026 22:26 hs.;Entregue;-19,8;-17,46;-17,46;;;82,73;25-PL027-MR
23 de janeiro de 2026 22:20 hs.;A caminho;-39,56;-44,91;-44,91;;;259,53;2-CHIFRE-PT
23 de janeiro de 2026 22:08 hs.;A caminho;-75,67;-44,45;-44,45;;;537,88;8-ALLEGRA-PT
23 de janeiro de 2026 22:04 hs.;Para entregar na coleta do dia 29 de janeiro;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 21:57 hs.;Para entregar na coleta do dia 6 de fevereiro;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
23 de janeiro de 2026 21:54 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
23 de janeiro de 2026 21:52 hs.;Para entregar na coleta do dia 30 de janeiro;-22,88;-22,45;-22,45;;;153,67;2-GRUVYER-PT
23 de janeiro de 2026 21:34 hs.;Para entregar na coleta do dia 20 de fevereiro;-63,32;;;;;252,64;1-ALLEGRA-PT
23 de janeiro de 2026 21:16 hs.;Para entregar na coleta do dia 29 de janeiro;-13,64;;;;;46,26;1-CREATINA-300G
23 de janeiro de 2026 21:14 hs.;Cancelada pelo comprador;-38,64;-28,45;-28,45;;-268,91;0;4-ALLEGRA-PT
23 de janeiro de 2026 20:52 hs.;A caminho;-55,89;-23,45;-23,45;;;406,66;6-ALLEGRA-PT
23 de janeiro de 2026 20:46 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
23 de janeiro de 2026 20:40 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 20:28 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
23 de janeiro de 2026 20:26 hs.;A caminho;-15,83;-19,99;-19,99;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 20:17 hs.;Para entregar na coleta de amanhã;-13,64;;;;;46,26;1-CREATINA-300G
23 de janeiro de 2026 20:14 hs.;Pacote de 2 produtos;-100,96;-89,73;-89,73;;;687,29; 
23 de janeiro de 2026 20:14 hs.;A caminho;;;;;;;1-ALLEGRA-PT
23 de janeiro de 2026 20:14 hs.;A caminho;;;;;;;4-ALLEGRA-PT
23 de janeiro de 2026 20:10 hs.;A caminho;-15,83;-12,99;-12,99;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 20:08 hs.;Para entregar na coleta do dia 3 de fevereiro;-174,02;-56,9;-56,9;;;1342,22;10-ALLEGRA-PT
23 de janeiro de 2026 20:03 hs.;Para entregar na coleta de amanhã;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 20:02 hs.;Para entregar na coleta de amanhã;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
23 de janeiro de 2026 19:54 hs.;Para entregar na coleta do dia 3 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 19:50 hs.;Para entregar na coleta do dia 29 de janeiro;-13,64;;;;;46,26;1-CREATINA-300G
23 de janeiro de 2026 19:48 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 19:47 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 19:34 hs.;Etiqueta pronta para imprimir;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
23 de janeiro de 2026 19:26 hs.;A caminho;-21,43;-22,45;-22,45;;;142,47;2-GRUVYER-PT
23 de janeiro de 2026 19:22 hs.;Para entregar na coleta de amanhã;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
23 de janeiro de 2026 19:21 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
23 de janeiro de 2026 19:12 hs.;A caminho;-15,83;-10,99;-10,99;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 19:09 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
23 de janeiro de 2026 19:08 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 18:48 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
23 de janeiro de 2026 18:48 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
23 de janeiro de 2026 18:44 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 18:37 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 18:36 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 18:36 hs.;A caminho;-11,36;-14,07;-14,07;;;73,38;1-ALLEGRA-PT
23 de janeiro de 2026 18:31 hs.;A caminho;-11,39;;;;;31,25;5M-NAPA-BR
23 de janeiro de 2026 18:26 hs.;Para entregar na coleta de amanhã;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 18:23 hs.;A caminho;-21,43;-22,45;-22,45;;;142,47;2-GRUVYER-PT
23 de janeiro de 2026 18:11 hs.;A caminho;-55,77;-26,95;-26,95;;;402,27;6-ALLEGRA-PT
23 de janeiro de 2026 18:07 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 17:58 hs.;Cancelada pelo comprador;-15,83;;;;-63,16;0;1-ALLEGRA-PT
23 de janeiro de 2026 17:56 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
23 de janeiro de 2026 17:43 hs.;Para entregar na coleta de amanhã;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 17:42 hs.;Para entregar na coleta do dia 29 de janeiro;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
23 de janeiro de 2026 17:27 hs.;A caminho;-52,78;-53,9;-53,9;;;352,32;3-CHIFRE-PT
23 de janeiro de 2026 17:25 hs.;A caminho;-15,83;-17,99;-17,99;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 17:19 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 16:57 hs.;Para entregar na coleta do dia 3 de fevereiro;-11,84;-16,41;-16,41;;;74,74;1-ALLEGRA-PT
23 de janeiro de 2026 16:53 hs.;Para entregar na coleta do dia 12 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 16:52 hs.;A caminho;-44,74;-28,45;-28,45;;;315,81;4-GRUVYER-PT
23 de janeiro de 2026 16:51 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
23 de janeiro de 2026 16:50 hs.;Para entregar na coleta do dia 5 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 16:40 hs.;Cancelada pelo comprador;-75,9;-44,45;-44,45;;-539,65;0;8-ALLEGRA-PT
23 de janeiro de 2026 16:35 hs.;A caminho;-52,78;-83,89;-83,89;;;352,32;3-CHIFRE-PT
23 de janeiro de 2026 16:30 hs.;Etiqueta pronta para imprimir;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
23 de janeiro de 2026 16:23 hs.;A caminho;-79,15;;;;;315,8;1-ALLEGRA-PT
23 de janeiro de 2026 16:22 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 16:20 hs.;Pronta para emitir NF-e de venda;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
23 de janeiro de 2026 15:54 hs.;A caminho;-79,15;;;;;315,8;1-ALLEGRA-PT
23 de janeiro de 2026 15:35 hs.;Para entregar na coleta do dia 11 de fevereiro;-48,07;-26,95;-26,95;;;368,04;4-ALLEGRA-ND
23 de janeiro de 2026 15:33 hs.;Para entregar na coleta do dia 11 de fevereiro;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
23 de janeiro de 2026 15:33 hs.;Para entregar na coleta do dia 2 de fevereiro;-10,54;-14,07;-14,07;;;67,74;1-ALLEGRA-PT
23 de janeiro de 2026 15:27 hs.;Etiqueta pronta para imprimir;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 15:24 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 15:20 hs.;A caminho;-47,49;;;;;189,48;1-ALLEGRA-PT
23 de janeiro de 2026 15:11 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 14:42 hs.;Para entregar na coleta do dia 5 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 14:24 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 14:24 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 14:05 hs.;A caminho;-31,66;-28,99;-28,99;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 13:57 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
23 de janeiro de 2026 13:52 hs.;Para entregar na coleta do dia 4 de fevereiro;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
23 de janeiro de 2026 13:40 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 13:34 hs.;A caminho;-57,9;-44,45;-44,45;;;401,09;6-ALLEGRA-PT
23 de janeiro de 2026 13:29 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 13:28 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 13:11 hs.;A caminho;-23,68;-32,83;-32,83;;;149,49;1-ALLEGRA-PT
23 de janeiro de 2026 13:06 hs.;Para entregar na coleta do dia 3 de fevereiro;-177,56;-113,8;-113,8;;;1252,64;4-GRUVYER-PT
23 de janeiro de 2026 13:03 hs.;A caminho;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
23 de janeiro de 2026 12:59 hs.;Para entregar na coleta do dia 2 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 12:54 hs.;A caminho;-21,43;-22,45;-22,45;;;142,47;2-GRUVYER-PT
23 de janeiro de 2026 12:46 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
23 de janeiro de 2026 12:37 hs.;Para entregar na coleta do dia 6 de fevereiro;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
23 de janeiro de 2026 12:36 hs.;Para entregar na coleta do dia 30 de janeiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
23 de janeiro de 2026 12:29 hs.;Para entregar na coleta do dia 11 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 12:21 hs.;A caminho;-11,84;-16,41;-16,41;;;74,74;1-ALLEGRA-PT
23 de janeiro de 2026 12:10 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
23 de janeiro de 2026 12:07 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 11:57 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;-77,04;-44,45;-44,45;;;548,41;6-ALLEGRA-ND
23 de janeiro de 2026 11:53 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 11:52 hs.;A caminho;-12,65;-16,41;-16,41;;;80,93;1-NANA-PT
23 de janeiro de 2026 11:36 hs.;Para entregar na coleta do dia 3 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 11:34 hs.;Para entregar na coleta do dia 11 de fevereiro;-61,18;-95,44;-95,44;;;426,37;6-ALLEGRA-PT-RESERVA
23 de janeiro de 2026 11:26 hs.;A caminho;-11,84;-16,41;-16,41;;;74,74;1-ALLEGRA-PT
23 de janeiro de 2026 11:23 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
