Data da venda;Estado;Tarifa de venda e impostos (BRL);Tarifas de envio (BRL);Custo de envio com base nas medidas e peso declarados;Custo por diferenças nas medidas e no peso do pacote;Cancelamentos e reembolsos (BRL);Total (BRL);SKU
25 de janeiro de 2026 11:19 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 10:57 hs.;A caminho;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
25 de janeiro de 2026 10:56 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 10:50 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 10:47 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 10:28 hs.;A caminho;-46,69;-44,45;-44,45;;;314,86;5-CHIFRE-PT
25 de janeiro de 2026 10:17 hs.;Para entregar na coleta do dia 3 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 10:10 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 10:04 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
25 de janeiro de 2026 10:00 hs.;A caminho;-58,65;-44,45;-44,45;;;406,9;6-ALLEGRA-PT
25 de janeiro de 2026 09:51 hs.;Para entregar na coleta do dia 29 de janeiro;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
25 de janeiro de 2026 09:44 hs.;A caminho;-26,79;-22,45;-22,45;;;183,7;2-GRUVYER-PT
25 de janeiro de 2026 09:38 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 09:35 hs.;Venda cancelada. Não envie.;-38,64;-28,45;-28,45;;-268,91;0;4-ALLEGRA-PT
25 de janeiro de 2026 09:33 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 09:12 hs.;A caminho;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
